info_Nombre de la publicación aprobada por el Indautor,info_No. Expediente en CCPRI,info_Periodicidad,info_Nombre comercial,info_Nombre fiscal,info_RFC del medio impreso,info_Estado,info_Número exterior,info_Código postal,info_Municipio,info_Colonia,info_Calle,info_Teléfono1,info_Presidente/a,info_Director/a editorial,info_Jefe/a de información y/o redacción,info_Fecha fundación,info_Fecha ejemplar,info_Página electrónica,info_Correo electrónico,info_Director/a general,info_Representante legal,info_Gerente comercial,info_Ejemplar de muestra,info_Cuenta con código de ética,info_Carta protesta firmada por el/la títular o el/la representante legal del medio impreso sobre requisitos obligatorios,info_Carta de conocimiento de leyes generales firmada por el/ella representante legal y editor(a) responsable,info_Tipo Tarifa,circulacion_Nombre de la publicación aprobada por el Indautor,circulacion_No. Expediente en CCPRI,circulacion_Periodicidad,circulacion_Fecha de ingreso/actualización del archivo PDF en el sistema,circulacion_Fecha de emisión del certificado,circulacion_Tiraje promedio,circulacion_Tipo de persona física o moral que lleva a cabo la certificación,"circulacion_Nombre, denominación social o razón social según corresponda",circulacion_Número de ediciones evaluadas,circulacion_Promedio de circulación,circulacion_Ventas,circulacion_Devoluciones,circulacion_Circulación pagada,circulacion_Promedio de circulación pagada,perfil_Nombre de la publicación aprobada por el Indautor,perfil_No. Expediente en CCPRI,perfil_Periodicidad,"perfil_Nombre, denominación o razón social",perfil_Estado,perfil_Núm. Exterior,perfil_Núm. Interior,perfil_Código Postal,perfil_Municipio/Delegación,perfil_Colonia,perfil_Calle,perfil_Teléfono,perfil_Página electrónica,perfil_Instrumento de medición,perfil_Universo,perfil_Tamaño de muestra,perfil_Nivel de confianza,perfil_Inicio,perfil_Termino,perfil_Tipo de entrevista o estrategia para el estudio,perfil_Margen de error,perfil_Mujeres,perfil_Hombres,perfil_Urbana,19-24,25-34,35-44,45-54,AB/C+,C,D+,Licenciatura,Postgrado,Preparatoria o Carrera Técnica,Primaria,Secundaria,Ama De Casa,Estudiante,Otro,Retirado,Trabaja Tiempo,Trabaja Tiempo Completo,info_Gerente general,circulacion_Curriculum,perfil_Persona que realiza el perfil del/la lector/a,perfil_Correo Electrónico,55-64,65 y más,D/E,Comerciante,Empleado,Hogar,Industrial,Obrero,Profesionista,circulacion_Distribución gratuita,circulacion_Circulación gratuita,circulacion_Promedio de circulación gratuita,Jubilado,Labores Del Hogar,info_Teléfono2,circulacion_Suscripciónes pagadas,Empleado IP,Empresario,Profesionista Independiente,Servidor Público,perfil_Rural,13-18,Iniciativa Privada,info_Número interior,circulacion_Directorio,circulacion_Metodología,Autoempleado,Director/Gerente,Maestro,Labor De Hogar,circulacion_Distribución a personas identificadas,circulacion_Circulación controlada,circulacion_Promedio de circulación controlada,Trabaja Medio Tiempo,0-12,Comerciantes,Desempleados,Estudiantes,Industriales,Política,Profesionistas,Otros,Sin Estudios,Empleados,Funcionarios,Al Hogar,Jubilado/Pensionado/Retirado,Temporalmente Desempleado,Trabaja,circulacion_Distribución calificada,circulacion_Circulación calificada,circulacion_Promedio de circulación calificada,info_Teléfono3,info_Teléfono4,Pensionado,Jubilado O Pensionado,Profesionistas Independientes,Otra,info_Fax,PPProfesionista Independiente,Agricultor,Ejecutivo,Funcionario Publico,Gobierno,Trabajo Por Su Cuenta,Desempleado,perfil_Mixta,Agricultor/Campesino,Comerciante Ambulante,Comerciante Formal,Empleado Empresa Privada,Pensionado/Jubilado,Periodista,Profesor,Trabaja Por Su Cuenta Como Profesionista,Trabaja Por Su Cuenta En Oficios,Funcionario Público,Sector Empresarial,Negocio Propio,Obrero / Artesano,Por Su Cuenta,Ventas,CASA,ESCUELA,OTROS,TRABAJO,TRANSPORTE,Independientes,Sector Público,Retiro,Trabajo Mediotiempo,Trabajo Tiempo Completo,Al Hogar Y Trabaja 1/2 Tiempo,Estudiante Y Trabaja 1/2 Tiempo,Solo Trabaja 1/2 Tiempo,Director,Dueño O Socio,Gerente,Empleado Privado O Público,Trabaja Medío Tiempo,Agricultor Y Ganadero,Temporamente Desemplado,Estudiante Y Trabaja Medio Tiempo,Servidor Publico,Labores DelHogar,Servidores Público,Profesionista Independiene,Empleado Independiente,Rofesionista,Servicio Pública,Estudiante Y Trabaja,Trabajo,No Contestó,Servicio Publico,Estudiante Y Trabaja 1/2 Medio Tiempo,Funcionario,circulacion_Vendidos a un precio menor del 50%,EMPLEADOS,FUNCIONARIOS,PROFESIONISTAS,Empresario IP,Empresa,Trabaja Por Su Cuenta,IP,Jubildo,Jubilado/pensionado/retirado,Político,Estudiente,Administrativos,Educadores,"Otros Profesionistas Diversos (ingenieros, Contadores)",Esmpresario,Trabajo Completo,Trabajo Medio Tiempo,Amas De Casa,Ejecutivas,Empresaria,Comercante,Profeaionista,Estudante,Estuiante,Empleado Ip,Comerciate,Profesional Independiente,Empleo IP,Servicio Público,Administración Pública,Diseño / Propietario,Jubilado O Pendionado,Agricultor O Ganadero,Empleado Privado,Jubilado Y Pensionado,Patrón/Empresario/Profesionista/Independiente,Trabaja Medo Tiempo,Obrero Pemex,Profesionista Independietne,Servicios Públicos,info_Alto,Estudiante Trabaja 1/2 Tiempo
LA JORNADA MORELOS,CCPRI/3/TC/08/18185,Lunes A Sábado,La Jornada Morelos,"Medios Informativos Centro Sur, SA de CV",MIC180419UV6,Morelos,16,62300,Cuernavaca,Ahuatepec,Paraíso,777 424 87 58 ,,Miguel Ángel Crisanto,Dulce Maya,16 MAY 2018,30 OCT 2019, www.lajornadamorelos.com.mx,redaccionjornadamorelos@gmail.com,Mario Alberto Salgado Becil,Mario Alberto Salgado Becil,Pedro Vidal,SI,NO,SI,SI,Periódico,LA JORNADA MORELOS,CCPRI/3/TC/08/18185,Lunes A Sábado,27 NOV 2019,14 NOV 2019,5700,Certificadora,"M & A Calificación de Medios, S.C.",78,5700,444600,,444600,5700,LA JORNADA MORELOS,CCPRI/3/TC/08/18185,Lunes A Sábado,"M&A Investigación de la Comunicación, S.C.",Ciudad De México,393,301,6500,Cuauhtemoc,Cuauhtémoc,Paseo de la Reforma,5555146191,http://www.moctezumayasociados.com.mx,Cuestionario,21660,300,95,23 OCT 2019,11 NOV 2019,Internet,Más Menos Cinco,43%,57%,100%,5%,27%,30%,38%,29%,38%,33%,58%,14%,21%,,7%,6%,4%,,,,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%,,,,,,,,,,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA NOTICIA EN CALIENTE EXTRA! DE CUAUTLA,CCPRI/3/TC/10/18608,Diario,La Noticia En Caliente Extra! De Cuautla,"Editoriales de Morelos, S.A. de C.V.",EMO950208EQ6,Morelos,132,62050,Cuernavaca,Las Palmas Sur,Av. Morelos Sur,777.362.0220 ,Miguel Ángel Bracamontes Baz,Eduardo Lavín Cedillo,Israel Noriega Lagunas,18 MAY 2009,23 FEB 2022, www.extrademorelos.com,oyuki@diariodemorelos.com,Eduardo Lavín Cedillo,Consuelo Oyuki Zapata Torres,Eduardo Lavin Cedillo,SI,SI,SI,SI,Periódico,LA NOTICIA EN CALIENTE EXTRA! DE CUAUTLA,CCPRI/3/TC/10/18608,Diario,10 MAR 2022,04 MAR 2022,23291,Certificadora,Agencia Certificadora y Gestora de Medios SC,89,23060.12,1765021,20567,1744454,19600.61,LA NOTICIA EN CALIENTE EXTRA! DE CUAUTLA,CCPRI/3/TC/10/18608,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Entrevista,23060,364,97,25 FEB 2022,04 MAR 2022,Internet,Más Menos Tres,34%,66%,91%,13%,24%,35%,28%,7%,5%,34%,17%,,30%,24%,29%,,11%,,,,,,,MORAL,acgm.sc@gmail.com,,,54%,28%,31%,14%,,,,,,,4%,,,,,,2%,10%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307896,307896,3459.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA NOTICIA EN CALIENTE EXTRA! DE MORELOS,CCPRI/3/TC/10/18610,Diario,La Noticia En Caliente Extra! De Morelos,"Editoriales de Morelos, S.A. de C.V.",EMO950208EQ6,Morelos,132,62050,Cuernavaca,Las Palmas Sur,Av. Morelos Sur,777.362.0220 ,Miguel Ángel Bracamontes Baz,Eduardo Lavín Cedillo,Israel Noriega Lagunas,18 MAY 2009,06 FEB 2022, www.extrademorelos.com,oyuki@diariodemorelos.com,Eduardo Lavín Cedillo,Consuelo Oyuki Zapata Torres,Eduardo Lavin Cedillo,SI,SI,SI,SI,Periódico,LA NOTICIA EN CALIENTE EXTRA! DE MORELOS,CCPRI/3/TC/10/18610,Diario,10 MAR 2022,04 MAR 2022,47723,Certificadora,Agencia Certificadora y Gestora de Medios SC,89,47251,3532499,42008,3490491,39219,LA NOTICIA EN CALIENTE EXTRA! DE MORELOS,CCPRI/3/TC/10/18610,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Cuestionario,47251,419,96,25 FEB 2022,04 MAR 2022,Internet,Más Menos Cuatro,34%,66%,93%,14%,29%,33%,24%,6%,8%,32%,11%,,36%,30%,23%,,11%,,,,,,,MORAL,acgm.sc@gmail.com,,,54%,24%,31%,13%,,,,714848,714848,8032,5%,,,,,,6%,10%,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA UNION,CCPRI/3/TC/21/21323,Diario,La Union,"PERIODICO DIARIO DE INFORMACION GENERAL ECOS DE MORELOS, S.A DE C.V.",PDI920912155,Morelos,777,62250,Cuernavaca,Tezontepec,Av Vicente Guerrero,777.311.4631 ,Gian Ricardo Estrada González,Gian Ricardo Estrada González,Oscar Rene Davis Martínez,01 ENE 1992,, www.launion.com.mx,unionpublicidad@launion.com.mx,,Roberto Fierro Vargas,Luisa Fernanda Rubio Marmori,NO,NO,SI,SI,Periódico,LA UNION,CCPRI/3/TC/21/21323,Diario,25 JUN 2021,16 JUN 2021,22339,Certificadora,Agencia Certificadora y Gestora de Medios SC,92,19143.7,220984,220983,208076,2261.7,LA UNION,CCPRI/3/TC/21/21323,Diario,Agencia Certificadora y Gestora de Medios SC,Ciudad De México,49,1402 14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,5536852022,www.agenciacgm.com,Encuesta,23100,364,97,09 JUN 2021,16 JUN 2021,Internet,Más Menos Tres,47%,53%,96%,6%,19%,34%,29%,76%,19%,,58%,8%,28%,,6%,,4%,,,,,,,MORAL,acgm.sc@gmail.com,10%,2%,5%,5%,,3%,4%,,44%,22816,22816,248,,,777.311.4632 ,208075,,,,,4%,,23%,Int 2,,,,,,,1397020,1397020,15185,,,,,,,,,17%,,,,,,,,133308,133308,1449,777.311.4633 ,777.311.4634 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LO DE HOY MORELOS,CCPRI/3/TC/22/21360,Lunes A Viernes,Lo De Hoy Morelos,"Medios Informativo Centro Sur, S.A. de C.V.",MIC180419UV6,Morelos,16,62300,Cuernavaca,Ahuatepec,Paraíso Montessori,77.7372.0494 ,Mario Alberto Salgado Becil,Miguel Ángel Crisanto Campos,Miguel Ángel Crisanto Campos,01 FEB 2021,30 MAR 2022, www.morelos.lodehoy.com.mx,lodehoymorelosadmon2021@gmail.com,Mario Alberto Salgado Becil,Mario Alberto Salgado Becil,Pedro Vidal Trejo,SI,SI,SI,SI,Periódico,LO DE HOY MORELOS,CCPRI/3/TC/22/21360,Lunes A Viernes,13 ABR 2022,24 FEB 2022,6500,Certificadora,"M & A Calificación de Medios, S.C.",53,4653,127359,,127359,2403,LO DE HOY MORELOS,CCPRI/3/TC/22/21360,Lunes A Viernes,"M&A Investigación de la Comunicación, S.C.",Ciudad De México,393,301,6500,Cuauhtemoc,Cuauhtémoc,Paseo de la Reforma,5555146191,http://www.moctezumayasociados.com.mx,Encuesta,24196,300,95,21 ENE 2022,12 FEB 2022,Internet,Más Menos Cinco,57%,43%,100%,6%,28%,31%,35%,32%,35%,33%,59%,14%,21%,,6%,10%,7%,,2%,,64%,,,,,,,,,,,,,,28090,28090,530,,,,,,,,,,,,,,,,,,,91160,91160,1720,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL PERIODICO EN QUE NAYARIT OPINA DIA A DIA,CCPRI/3/TC/19/21263,Lunes A Sábado,El Periodico En Que Nayarit Opina Dia A Dia,"Vallarta Opina Ediciones, S.A. de C.V.",VOE060327HJ1,Nayarit,181,63000,Tepic,Centro,Veracruz,311.210.4264 ,Carmen Sofía Reyes Zúñiga,Eduardo García Gómez,Carlos Millet Medina,12 AGO 1993,26 OCT 2019, www.nayaritopina.mx,nayopina@hotmail.com,Luis Reyes Brambila,Carmen Sofía Reyes Zúñiga,Arturo Ibarra García,SI,NO,SI,SI,Periódico,EL PERIODICO EN QUE NAYARIT OPINA DIA A DIA,CCPRI/3/TC/19/21263,Lunes A Sábado,01 NOV 2019,21 OCT 2019,17400,Certificadora,"M&A Calificación de Medios, S.C.",78,15484,,,1051752,13484,EL PERIODICO EN QUE NAYARIT OPINA DIA A DIA,CCPRI/3/TC/19/21263,Lunes A Sábado,"M&A Investigación de la Comunicación, S.C.",Ciudad De México,393,301,6500,Cuauhtemoc,Cuauhtémoc,Paseo de la Reforma,5555146191,http://www.moctezumayasociados.com.mx,Cuestionario,60387,300,95,23 SEP 2019,10 OCT 2019,Internet,Más Menos Cinco,42%,58%,100%,3%,28%,44%,25%,44%,48%,8%,52%,12%,24%,,12%,9%,9%,,2%,,,,,MORAL,,,,,,,,,,,156000,156000,2000,,,,1051752,,,,,,,,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENFOQUE INFORMATIVO,CCPRI/3/TC/14/20079,Diario,Enfoque Informativo,"Ediciones y Publicaciones Enfoque, S.A de C.V.",EPE130617QZ1,Nayarit,12,63138,Tepic,Rincón de San Juan,San Juan,311.213.0165 ,Abel Amet Lazos González,Abel Amet Lazos González,Gabriel Antonio Carrillo Guerrero,28 ABR 2003,30 ABR 2019, www.enfoquenayarit.com,publicidad@enfoquenayarit.com,Abel Amet Lazos González,Abel Amet Lazos González,Patricia Sugey Villela Espericueta,SI,SI,SI,SI,Periódico,ENFOQUE INFORMATIVO,CCPRI/3/TC/14/20079,Diario,12 JUN 2019,17 ABR 2019,31650,Certificadora,Agencia Certificadora y Gestora de Medios SC,90,31000,2848500,58500,2790000,31000,ENFOQUE INFORMATIVO,CCPRI/3/TC/14/20079,Diario,Agencia Certificadora y Gestora de Medios SC,Ciudad De México,49,1402 14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,5536852022,www.agenciacgm.com,Cuestionario,15000,1448,96,01 ABR 2019,08 ABR 2019,Internet,Más Menos Cuatro,41%,59%,100%,14%,19%,30%,21%,59%,21%,12%,31%,24%,30%,4%,11%,,4%,,,,,,,MORAL,acgm.sc@gmail.com,12%,4%,8%,14%,12%,3%,,,35%,,,,3%,,311.213.0168 ,,,,,,,,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERIDIANO DE NAYARIT,1/432-88-05678,Diario,Meridiano De Nayarit,"Compañía Editorial Alpesor, S. de R. L.",EAL890921392,Nayarit,335,63157,Tepic,Fracc. Las Aves,Av. Independencia,311.210.3214 ,José Luis David Alfaro,José Luis David Alfaro,Guillermo Aguirre Torres,01 AGO 1942,25 OCT 2018, www.meridiano.mx,ventas@meridiano.com.mx,José Luis David Alfaro,José Luis David Alfaro,Perla Minerva Coronel Lujano,SI,NO,SI,SI,Periódico,MERIDIANO DE NAYARIT,1/432-88-05678,Diario,28 NOV 2018,15 OCT 2018,31670,Certificadora,,92,31500,2913640,15640,2898000,31500,MERIDIANO DE NAYARIT,1/432-88-05678,Diario,,,,,,,,,,,Cuestionario,31500,840,96,17 OCT 2018,24 OCT 2018,Internet,Más Menos Cuatro,39%,61%,100%,15%,17%,32%,36%,31%,18%,15%,30%,,31%,13%,26%,,9%,,,,,,,,,,,36%,,,22%,,,,,,,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC DE MONTERREY,CCPRI/3/TC/11/19214,Diario,Abc De Monterrey,"Editorial Monterrey, S.A.",EMO801210AS6,Nuevo León,411,64000,Monterrey,Monterrey y Centro,Rafael Platón Sánchez Sur,818.047.4900 ,Alberto Estrada Torres,Juan Antonio Martínez Martínez,Emmanuel Hernández Fernández,15 JUN 1985,, www.abcnoticias.mx,aalmaguer@epsilonmedia.mx,Alberto David Estrada Hernández,Gonzalo Israel Estrada Sáenz,Claudia Margarita Osuna Cedillo,NO,SI,SI,SI,Periódico,ABC DE MONTERREY,CCPRI/3/TC/11/19214,Diario,25 OCT 2021,18 SEP 2021,40035,Certificadora,"Brumat Media, S.A. de C.V.",100,40035,,,,,ABC DE MONTERREY,CCPRI/3/TC/11/19214,Diario,"Brumat Media, S.A. de C.V.",,,,,,,,,,Cuestionario,40035,381,95,09 SEP 2021,17 SEP 2021,Internet,Más Menos Cinco,44%,56%,95%,5%,32%,35%,,65%,28%,7%,70%,18%,9%,,3%,,5%,,,,,,,,,25%,3%,,,52%,18%,,,,4003500,4003500,40035,,,,,,21%,,,5%,,,,,,,,,,,,,,,,,,,,,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL HORIZONTE LA VERDAD COMO ES,CCPRI/3/TC/13/19711,Diario,El Horizonte La Verdad Como Es,"El Horizonte Multimedia, S. A. de C. V.",HMU120801KZ6,Nuevo León,405,64010,Monterrey,México,Félix U. Gómez,81.1930.0700 ,Guillermo Eduardo Salinas Pliego,Luis José Padua Viñals,Emmanuel Hernández Fernández,01 AGO 2012,25 JUN 2019, www.elhorizonte.mx,vicente_diaz@elhorizonte.mx,Rubén Jordán García,Vicente Díaz Charles,José Antonio Esquivel González,SI,NO,SI,SI,Periódico,EL HORIZONTE LA VERDAD COMO ES,CCPRI/3/TC/13/19711,Diario,27 JUN 2019,15 JUN 2019,90000,Certificadora,"Alerex, S.C.",92,90000.43,,,,,EL HORIZONTE LA VERDAD COMO ES,CCPRI/3/TC/13/19711,Diario,"Alerex, S.C.",Nuevo León,204,3,64640,Monterrey,San Jerónimo,José Luna Ayala,018150008230,http://www.alerex.com.mx,Encuesta,,5000,97,01 OCT 2018,31 OCT 2018,Internet,Más Menos Tres,48%,52%,100%,7%,21%,36%,31%,95%,5%,,71%,18%,10%,,1%,,,,,,,,,MORAL,lmontemayor@alerex.com.mx,4%,,,15%,,40%,,,,,,,,,,,,,,,,1%,,,,,,,,,566205,566205,6154.4,,,,1%,7%,5%,3%,15%,,,,,,,,,7713835,7713835,83846.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL NORTE,1/432-94-10405,Diario,El Norte,"Editora El Sol, S.A. de C.V.",ESO851126P67,Nuevo León,629,64000,Monterrey,Monterrey Centro,Washington Ote,818.150.8000 ,Alejandro Raúl Junco de la Vega Elizondo,Martha Alicia Treviño González,Martha AliciaTreviño González,15 SEP 1938,17 ABR 2022, www.elnorte.com,juridico.reforma@reforma.com,Alejandro Raúl Junco de la Vega Elizondo,Norma Martínez García,Ricardo Junco Garza,SI,SI,SI,SI,Periódico,EL NORTE,1/432-94-10405,Diario,02 MAY 2022,11 ABR 2022,156750,Certificadora,Agencia Certificadora y Gestora de Medios SC,92,153733,8674956,277564,14143436,153733,EL NORTE,1/432-94-10405,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Encuesta,153733,214,95,04 ABR 2022,11 ABR 2022,Internet,Más Menos Cinco,21%,79%,95%,,20%,27%,24%,93%,7%,,44%,49%,7%,,,,,2%,,,,,,MORAL,acgm.sc@gmail.com,19%,10%,,,10%,14%,14%,,27%,,,,,,,5746044,,,,,5%,,30%,,,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL PORVENIR,1/432-85-04110,Diario,El Porvenir,"Editorial El Porvenir, S.A. de C.V.",EPO8312301W2,Nuevo León,344,64000,Monterrey,Centro,Hermenegildo Galeana Sur,818.345.4080 ,José Gerardo Cantú Escalante,,José Manuel Rodríguez Arroyo,01 ENE 1919,14 AGO 2019, www.elpovenir.mx,editorial@prodigy.net.mx,José Gerardo Cantú Escalante,José Gerardo Cantú Escalante,,SI,NO,SI,SI,Periódico,EL PORVENIR,1/432-85-04110,Diario,21 AGO 2019,19 AGO 2019,18400,Certificadora,Agencia Certificadora y Gestora de Medios SC,92,18005,129076,36340,92736,1008,EL PORVENIR,1/432-85-04110,Diario,Agencia Certificadora y Gestora de Medios SC,Ciudad De México,49,1402 14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,5536852022,www.agenciacgm.com,Cuestionario,18005,320,97,12 AGO 2019,19 AGO 2019,Internet,Más Menos Tres,53%,47%,100%,16%,18%,24%,31%,59%,,28%,50%,10%,24%,5%,11%,,9%,,,,,,,MORAL,acgm.sc@gmail.com,,11%,13%,21%,26%,12%,,,22%,1320568,1320568,14354,,,,,,,,,,,,,,,,,,,243156,243156,2643,,,,,,,,,,,,,,,,,,,,,,,,,,813345.7795 ,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA ÚLTIMA PALABRA,CCPRI/3/TC/09/18583,Semanal,La Última Palabra,"Editora Cadereyta, S.A. de C.V.",ECA040223M85,Nuevo León,404,67480,Cadereyta Jimenez,Centro,Hidalgo Poniente,828.284.2778 ,Jesús Herrera Rábago,,Miguel Óscar Pérez Hernández,24 FEB 2004,12 ABR 2019, www.laultimapalabra.com.mx,director@laultimapalabra.com.mx,Jesús Herrera Rábago,Jesús Herrera Rábago,Patricia Teresa García Elizondo,SI,NO,SI,SI,Periódico,LA ÚLTIMA PALABRA,CCPRI/3/TC/09/18583,Semanal,03 MAY 2019,30 ABR 2019,7000,Certificadora,Agencia Certificadora y Gestora de Medios SC,12,7000,600,,600,50,LA ÚLTIMA PALABRA,CCPRI/3/TC/09/18583,Semanal,Agencia Certificadora y Gestora de Medios SC,Ciudad De México,49,1402 14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,5536852022,www.agenciacgm.com,Cuestionario,3600,270,95,23 ABR 2019,30 ABR 2019,Internet,Más Menos Cinco,47%,53%,91%,13%,23%,26%,18%,62%,19%,,50%,5%,30%,1%,14%,,9%,,,,,,,MORAL,acgm.sc@gmail.com,13%,2%,19%,11%,,16%,7%,,34%,,,,,,,,,,,,9%,4%,4%,2,,,,,,,83400,83400,6950,,,,,,,3%,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METRO,CCPRI/3/TC/18/21043,Diario,Metro,"Editora El Sol, S.A. de C.V.",ESO851126P67,Nuevo León,629,64000,Monterrey,Centro,Washington Ote,818.150 8000 ,Alejandro Raúl Junco de la Vega Elizondo,Martha Alicia Treviño González,Martha Alicia Treviño González,04 ABR 1988,17 ABR 2022, No presentó,juridico.reforma@reforma.com,Alejandro Raúl Junco de la Vega Elizondo,Norma Martínez García,Ricardo Junco Garza,SI,SI,SI,SI,Periódico,METRO,CCPRI/3/TC/18/21043,Diario,02 MAY 2022,13 ABR 2022,110239,Certificadora,Agencia Certificadora y Gestora de Medios SC,92,105499,10141988,436080,9705908,105499,METRO,CCPRI/3/TC/18/21043,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Cuestionario,105499,336,95,06 ABR 2022,13 ABR 2022,Internet,Más Menos Cinco,28%,72%,90%,16%,31%,26%,16%,12%,16%,34%,24%,,38%,14%,24%,,5%,4%,,,,,,MORAL,acgm.sc@gmail.com,11%,,38%,28%,29%,11%,,,13%,,,,,,,,,,,,10%,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
